,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
0,Tim McGraw,Taylor Swift,Taylor Swift,24/10/2006,232106,54,0.58,0.575,0.58,0.491,0,0.121,-6.462,0.0251,76.009,4
1,Picture To Burn,Taylor Swift,Taylor Swift,24/10/2006,173066,60,0.658,0.173,0.658,0.877,0,0.0962,-2.098,0.0323,105.586,4
2,Teardrops On My Guitar - Radio Single Remix,Taylor Swift,Taylor Swift,24/10/2006,203040,62,0.621,0.288,0.621,0.417,0,0.119,-6.941,0.0231,99.953,4
3,A Place in this World,Taylor Swift,Taylor Swift,24/10/2006,199200,53,0.576,0.051,0.576,0.777,0,0.32,-2.881,0.0324,115.028,4
4,Cold As You,Taylor Swift,Taylor Swift,24/10/2006,239013,55,0.418,0.217,0.418,0.482,0,0.123,-5.769,0.0266,175.558,4
5,The Outside,Taylor Swift,Taylor Swift,24/10/2006,207106,52,0.589,0.00491,0.589,0.805,0,0.24,-4.055,0.0293,112.982,4
6,Tied Together with a Smile,Taylor Swift,Taylor Swift,24/10/2006,248106,52,0.479,0.525,0.479,0.578,0,0.0841,-4.963,0.0294,146.165,4
7,Stay Beautiful,Taylor Swift,Taylor Swift,24/10/2006,236053,52,0.594,0.0868,0.594,0.629,0,0.137,-4.919,0.0246,131.597,4
8,Should've Said No,Taylor Swift,Taylor Swift,24/10/2006,242200,59,0.476,0.0103,0.476,0.777,0,0.196,-3.771,0.0289,167.964,4
9,Mary's Song (Oh My My My),Taylor Swift,Taylor Swift,24/10/2006,213080,54,0.403,0.0177,0.403,0.627,0,0.182,-5.28,0.0292,74.9,4
10,Our Song,Taylor Swift,Taylor Swift,24/10/2006,201106,61,0.668,0.111,0.668,0.672,0,0.329,-4.931,0.0303,89.011,4
11,I'm Only Me When I'm With You,Taylor Swift,Taylor Swift,24/10/2006,213053,55,0.563,0.00452,0.563,0.934,0.000807,0.103,-3.629,0.0646,143.964,4
12,Invisible,Taylor Swift,Taylor Swift,24/10/2006,203226,53,0.612,0.637,0.612,0.394,0,0.147,-5.723,0.0243,96.001,4
13,A Perfectly Good Heart,Taylor Swift,Taylor Swift,24/10/2006,220146,51,0.483,0.00349,0.483,0.751,0,0.128,-5.726,0.0365,156.092,4
14,Teardrops on My Guitar - Pop Version,Taylor Swift,Taylor Swift,24/10/2006,179066,52,0.459,0.0402,0.459,0.753,0,0.0863,-3.827,0.0537,199.997,4
15,Jump Then Fall,Fearless (Platinum Edition),Taylor Swift,11/11/2008,237066,48,0.618,0.111,0.618,0.687,0,0.0693,-5.737,0.0271,79.991,4
16,Untouchable,Fearless (Platinum Edition),Taylor Swift,11/11/2008,311040,47,0.419,0.0583,0.419,0.454,3.78E-06,0.0974,-6.809,0.0335,200.017,4
17,Forever & Always - Piano Version,Fearless (Platinum Edition),Taylor Swift,11/11/2008,267506,48,0.592,0.852,0.592,0.16,0,0.116,-10.785,0.0347,118.929,4
18,Come In With The Rain,Fearless (Platinum Edition),Taylor Swift,11/11/2008,238093,45,0.527,0.0961,0.527,0.461,2.47E-06,0.24,-6.172,0.0256,143.94,4
19,SuperStar,Fearless (Platinum Edition),Taylor Swift,11/11/2008,261453,44,0.61,0.367,0.61,0.531,0,0.351,-6.123,0.0239,85.979,4
20,The Other Side Of The Door,Fearless (Platinum Edition),Taylor Swift,11/11/2008,237600,45,0.476,0.169,0.476,0.816,0,0.238,-4.279,0.0347,163.847,4
21,Fearless,Fearless (Platinum Edition),Taylor Swift,11/11/2008,242000,48,0.598,0.0364,0.598,0.714,1.04E-06,0.31,-4.397,0.0273,99.979,4
22,Fifteen,Fearless (Platinum Edition),Taylor Swift,11/11/2008,294346,46,0.559,0.0728,0.559,0.636,0,0.144,-4.4,0.0263,95.485,4
23,Love Story,Fearless (Platinum Edition),Taylor Swift,11/11/2008,235280,62,0.618,0.157,0.618,0.736,0,0.073,-3.937,0.0308,118.982,4
24,Hey Stephen,Fearless (Platinum Edition),Taylor Swift,11/11/2008,254320,50,0.843,0.168,0.843,0.553,2.66E-06,0.107,-7.348,0.0317,115.997,4
25,White Horse,Fearless (Platinum Edition),Taylor Swift,11/11/2008,234440,46,0.585,0.302,0.585,0.346,0,0.102,-8.014,0.0256,92.564,4
26,You Belong With Me,Fearless (Platinum Edition),Taylor Swift,11/11/2008,231146,60,0.687,0.164,0.687,0.771,2.46E-05,0.112,-4.424,0.0384,129.964,4
27,Breathe,Fearless (Platinum Edition),Taylor Swift,11/11/2008,263986,45,0.498,0.373,0.498,0.486,0,0.113,-7.384,0.0273,147.952,4
28,Tell Me Why,Fearless (Platinum Edition),Taylor Swift,11/11/2008,200560,47,0.601,0.0606,0.601,0.852,3.41E-06,0.37,-3.096,0.0386,100.015,4
29,You're Not Sorry,Fearless (Platinum Edition),Taylor Swift,11/11/2008,261800,50,0.459,0.13,0.459,0.459,2.30E-06,0.113,-4.126,0.0275,134.018,4
30,The Way I Loved You,Fearless (Platinum Edition),Taylor Swift,11/11/2008,244240,55,0.436,0.0322,0.436,0.712,0,0.111,-3.689,0.0329,160.886,4
31,Forever & Always,Fearless (Platinum Edition),Taylor Swift,11/11/2008,225333,51,0.605,0.0907,0.605,0.829,0,0.106,-4.993,0.0549,128.012,4
32,The Best Day,Fearless (Platinum Edition),Taylor Swift,11/11/2008,245346,45,0.664,0.611,0.664,0.447,1.00E-06,0.139,-8.535,0.0292,126.079,4
33,Change,Fearless (Platinum Edition),Taylor Swift,11/11/2008,281053,46,0.548,0.00471,0.548,0.756,0,0.117,-4.175,0.036,96.038,4
34,Our Song - International Mix,Fearless (International Version),Taylor Swift,11/11/2008,199933,38,0.516,0.00739,0.516,0.696,1.11E-06,0.354,-4.833,0.0301,177.936,4
35,Teardrops On My Guitar - International Mix,Fearless (International Version),Taylor Swift,11/11/2008,193640,42,0.514,0.0178,0.514,0.557,0.00755,0.114,-6.307,0.0264,99.974,4
36,Should've Said No - International Mix,Fearless (International Version),Taylor Swift,11/11/2008,245826,35,0.398,0.00505,0.398,0.761,0.000437,0.234,-4.382,0.0377,168.092,4
37,Last Christmas,The Taylor Swift Holiday Collection,Taylor Swift,02/12/2008,208253,51,0.702,0.31,0.702,0.77,0,0.149,-5.319,0.0372,116.009,4
38,Christmases When You Were Mine,The Taylor Swift Holiday Collection,Taylor Swift,02/12/2008,184253,43,0.625,0.646,0.625,0.206,0,0.0915,-12.568,0.0285,79.466,4
39,Santa Baby,The Taylor Swift Holiday Collection,Taylor Swift,02/12/2008,158600,43,0.759,0.159,0.759,0.509,0,0.153,-6.593,0.0271,107.948,4
40,Silent Night,The Taylor Swift Holiday Collection,Taylor Swift,02/12/2008,209893,42,0.423,0.621,0.423,0.311,0,0.0987,-7.581,0.0319,119.546,3
41,Christmas Must Be Something More,The Taylor Swift Holiday Collection,Taylor Swift,02/12/2008,232146,42,0.689,0.298,0.689,0.793,0,0.107,-4.838,0.0356,122.879,4
42,White Christmas,The Taylor Swift Holiday Collection,Taylor Swift,02/12/2008,154000,41,0.562,0.587,0.562,0.392,0,0.224,-9.014,0.0287,145.792,4
43,Crazier,Hannah Montana The Movie,Taylor Swift,01/01/2009,191946,68,0.452,0.0631,0.452,0.544,5.33E-06,0.104,-5.423,0.0277,133.042,3
44,Two Is Better Than One (feat. Taylor Swift),Love Drunk,"Boys Like Girls, Taylor Swift",07/09/2009,242840,69,0.521,0.189,0.521,0.702,0,0.0962,-5.189,0.0331,127.976,4
45,Half of My Heart,Battle Studies,"John Mayer, Taylor Swift",13/11/2009,250373,68,0.681,0.435,0.681,0.593,0.000117,0.106,-9.327,0.0251,115.058,4
46,Mine - POP Mix,Speak Now (Deluxe Package),Taylor Swift,01/01/2010,230546,52,0.696,0.00461,0.696,0.768,1.21E-06,0.101,-3.863,0.0308,121.05,4
47,Sparks Fly,Speak Now (Deluxe Package),Taylor Swift,01/01/2010,260946,59,0.608,0.0387,0.608,0.785,0,0.158,-2.976,0.0311,114.985,4
48,Back To December,Speak Now (Deluxe Package),Taylor Swift,01/01/2010,293040,67,0.517,0.0202,0.517,0.606,0,0.324,-5.797,0.0289,141.929,4
49,Speak Now,Speak Now (Deluxe Package),Taylor Swift,01/01/2010,240773,57,0.708,0.101,0.708,0.601,0,0.0979,-3.75,0.0306,118.962,4
50,Dear John,Speak Now (Deluxe Package),Taylor Swift,01/01/2010,403887,60,0.583,0.183,0.583,0.468,1.65E-06,0.111,-5.378,0.0278,119.375,3
51,Mean,Speak Now (Deluxe Package),Taylor Swift,01/01/2010,237746,61,0.57,0.445,0.57,0.747,0,0.219,-3.978,0.0426,164.004,4
52,The Story Of Us,Speak Now (Deluxe Package),Taylor Swift,01/01/2010,265636,55,0.575,0.000315,0.575,0.855,0.00161,0.0419,-4.827,0.0467,139.92,4
53,Never Grow Up,Speak Now (Deluxe Package),Taylor Swift,01/01/2010,290480,53,0.715,0.829,0.715,0.308,0,0.16,-8.829,0.0305,124.899,4
54,Enchanted,Speak Now (Deluxe Package),Taylor Swift,01/01/2010,352200,75,0.535,0.0716,0.535,0.618,0.000388,0.169,-3.913,0.0273,81.975,4
55,Better Than Revenge,Speak Now (Deluxe Package),Taylor Swift,01/01/2010,217173,61,0.519,0.0167,0.519,0.917,2.06E-05,0.359,-3.185,0.0887,145.882,4
56,Innocent,Speak Now (Deluxe Package),Taylor Swift,01/01/2010,302266,52,0.553,0.202,0.553,0.604,0,0.125,-5.295,0.0258,133.989,4
57,Haunted,Speak Now (Deluxe Package),Taylor Swift,01/01/2010,242093,55,0.434,0.0769,0.434,0.944,0,0.151,-2.641,0.0581,162.02,4
58,Last Kiss,Speak Now (Deluxe Package),Taylor Swift,01/01/2010,367146,57,0.359,0.581,0.359,0.329,3.75E-05,0.0979,-9.531,0.0293,84.358,3
59,Long Live,Speak Now (Deluxe Package),Taylor Swift,01/01/2010,317960,55,0.412,0.0426,0.412,0.682,7.47E-05,0.106,-4.319,0.0339,203.959,4
60,Ours,Speak Now (Deluxe Package),Taylor Swift,01/01/2010,238173,59,0.61,0.505,0.61,0.556,0,0.0851,-7.369,0.0285,159.838,4
61,If This Was A Movie,Speak Now (Deluxe Package),Taylor Swift,01/01/2010,234546,58,0.515,0.154,0.515,0.724,4.05E-06,0.269,-3.498,0.0267,147.788,4
62,Superman,Speak Now (Deluxe Package),Taylor Swift,01/01/2010,276266,52,0.582,0.0187,0.582,0.817,1.94E-06,0.101,-3.718,0.0337,131.983,4
63,Back To December - Acoustic,Speak Now (Deluxe Package),Taylor Swift,01/01/2010,292533,62,0.541,0.731,0.541,0.451,0,0.197,-6.522,0.027,141.713,4
64,Haunted - Acoustic Version,Speak Now (Deluxe Package),Taylor Swift,01/01/2010,217626,52,0.574,0.841,0.574,0.462,0,0.28,-5.124,0.0252,80.858,4
65,Mine,Speak Now (Deluxe Package),Taylor Swift,01/01/2010,230773,68,0.621,0.00327,0.621,0.78,4.55E-06,0.184,-2.934,0.0297,121.038,4
66,Back To December,Speak Now (Deluxe Package),Taylor Swift,01/01/2010,293040,48,0.525,0.113,0.525,0.676,0,0.294,-4.684,0.0294,141.95,4
67,The Story Of Us,Speak Now (Deluxe Package),Taylor Swift,01/01/2010,266480,66,0.546,0.00487,0.546,0.809,0.000372,0.0437,-3.621,0.041,139.91,4
68,Today Was A Fairytale,Today Was A Fairytale,Taylor Swift,15/02/2011,242480,55,0.491,0.0307,0.491,0.703,5.72E-06,0.167,-4.5,0.0319,157.988,4
69,Safe & Sound - from The Hunger Games Soundtrack,The Hunger Games: Songs From District 12 And Beyond,"Taylor Swift, The Civil War",01/01/2012,240066,69,0.471,0.883,0.471,0.3,1.05E-05,0.0698,-10.807,0.028,144.319,4
70,Ronan,Ronan,Taylor Swift,08/09/2012,265306,48,0.565,0.646,0.565,0.255,0,0.127,-10.152,0.0314,57.964,4
71,State Of Grace,Red (Deluxe Edition),Taylor Swift,22/10/2012,295720,53,0.588,0.000197,0.588,0.825,0.00138,0.0884,-5.882,0.0328,129.968,4
72,Red,Red (Deluxe Edition),Taylor Swift,22/10/2012,223093,62,0.602,0.0773,0.602,0.896,8.87E-05,0.0911,-4.267,0.0437,124.978,4
73,Treacherous,Red (Deluxe Edition),Taylor Swift,22/10/2012,242760,53,0.704,0.101,0.704,0.621,4.30E-06,0.14,-8.086,0.0334,109.995,4
74,I Knew You Were Trouble.,Red (Deluxe Edition),Taylor Swift,22/10/2012,219720,65,0.622,0.00454,0.622,0.469,2.25E-06,0.0335,-6.798,0.0363,77.019,4
75,All Too Well,Red (Deluxe Edition),Taylor Swift,22/10/2012,329160,70,0.602,0.0382,0.602,0.609,0.0002,0.128,-7.803,0.0243,93.06,4
76,22,Red (Deluxe Edition),Taylor Swift,22/10/2012,232120,64,0.661,0.00215,0.661,0.729,0.0013,0.0477,-6.561,0.0376,103.987,4
77,I Almost Do,Red (Deluxe Edition),Taylor Swift,22/10/2012,244560,53,0.567,0.0173,0.567,0.481,4.13E-05,0.182,-7.357,0.027,145.865,4
78,We Are Never Ever Getting Back Together,Red (Deluxe Edition),Taylor Swift,22/10/2012,193146,64,0.628,0.00957,0.628,0.676,2.65E-05,0.121,-5.911,0.0916,85.984,4
79,Stay Stay Stay,Red (Deluxe Edition),Taylor Swift,22/10/2012,205853,53,0.729,0.307,0.729,0.748,1.29E-06,0.0962,-6.67,0.0245,99.981,4
80,The Last Time,Red (Deluxe Edition),"Taylor Swift, Gary Lightbody",22/10/2012,299013,56,0.505,0.035,0.505,0.443,3.15E-06,0.0906,-7.039,0.0276,94.069,4
81,Holy Ground,Red (Deluxe Edition),Taylor Swift,22/10/2012,202960,51,0.627,0.0162,0.627,0.816,0.00208,0.0965,-6.698,0.0774,157.043,4
82,Sad Beautiful Tragic,Red (Deluxe Edition),Taylor Swift,22/10/2012,284866,49,0.624,0.632,0.624,0.34,0.0337,0.0805,-12.411,0.029,129.987,3
83,The Lucky One,Red (Deluxe Edition),Taylor Swift,22/10/2012,240266,51,0.706,0.0371,0.706,0.499,0,0.132,-7.675,0.0369,117.937,4
84,Everything Has Changed,Red (Deluxe Edition),"Taylor Swift, Ed Sheeran",22/10/2012,245413,61,0.624,0.36,0.624,0.458,3.89E-06,0.311,-6.755,0.0287,80.016,4
85,Starlight,Red (Deluxe Edition),Taylor Swift,22/10/2012,220600,50,0.649,0.0213,0.649,0.777,0.000335,0.21,-5.804,0.0406,126.018,4
86,Begin Again,Red (Deluxe Edition),Taylor Swift,22/10/2012,239426,53,0.53,0.199,0.53,0.526,3.52E-06,0.14,-8.349,0.0263,79.025,4
87,The Moment I Knew,Red (Deluxe Edition),Taylor Swift,22/10/2012,286613,49,0.619,0.187,0.619,0.506,1.47E-05,0.101,-7.327,0.0315,126.03,4
88,Come Back...Be Here,Red (Deluxe Edition),Taylor Swift,22/10/2012,223920,54,0.483,0.00471,0.483,0.548,2.01E-06,0.0997,-6.291,0.0254,79.926,4
89,Girl At Home,Red (Deluxe Edition),Taylor Swift,22/10/2012,220840,46,0.733,0.272,0.733,0.59,0,0.134,-5.86,0.0284,125.048,4
90,Treacherous - Original Demo Recording,Red (Deluxe Edition),Taylor Swift,22/10/2012,240266,43,0.828,0.175,0.828,0.64,6.14E-05,0.0991,-8.248,0.0355,109.993,4
91,Red - Original Demo Recording,Red (Deluxe Edition),Taylor Swift,22/10/2012,227080,45,0.678,0.113,0.678,0.902,0.000235,0.0705,-4.659,0.0358,124.998,4
92,State Of Grace - Acoustic,Red (Deluxe Edition),Taylor Swift,22/10/2012,323080,49,0.626,0.664,0.626,0.118,0.000169,0.127,-15.91,0.0305,105.597,4
93,Everything Has Changed - Remix,Everything Has Changed (Remix),"Taylor Swift, Ed Sheeran",01/01/2013,249760,39,0.683,0.265,0.683,0.627,4.86E-06,0.21,-5.473,0.0345,80.029,4
94,Highway Don't Care,Two Lanes Of Freedom,"Tim McGraw, Taylor Swift, Keith Urban",01/01/2013,279066,59,0.477,0.0261,0.477,0.79,0,0.0841,-5.348,0.0394,157.797,4
95,Welcome To New York,1989 (Deluxe),Taylor Swift,01/01/2014,212600,62,0.789,0.0348,0.789,0.634,1.64E-06,0.302,-4.762,0.0323,116.992,4
96,Blank Space,1989 (Deluxe),Taylor Swift,01/01/2014,231826,87,0.76,0.103,0.76,0.703,0,0.0913,-5.412,0.054,95.997,4
97,Style,1989 (Deluxe),Taylor Swift,01/01/2014,231000,82,0.588,0.00245,0.588,0.791,0.00258,0.118,-5.595,0.0402,94.933,4
98,Out Of The Woods,1989 (Deluxe),Taylor Swift,01/01/2014,235800,71,0.553,0.000743,0.553,0.841,1.19E-05,0.341,-6.937,0.0396,92.008,4
99,All You Had To Do Was Stay,1989 (Deluxe),Taylor Swift,01/01/2014,193293,63,0.605,0.00201,0.605,0.725,2.02E-05,0.101,-5.729,0.0323,96.97,4
100,Shake It Off,1989 (Deluxe),Taylor Swift,01/01/2014,219200,84,0.647,0.0647,0.647,0.8,0,0.334,-5.384,0.165,160.078,4
101,I Wish You Would,1989 (Deluxe),Taylor Swift,01/01/2014,207440,64,0.653,0.0158,0.653,0.893,4.95E-05,0.102,-5.966,0.0538,118.035,4
102,Bad Blood,1989 (Deluxe),Taylor Swift,01/01/2014,211933,63,0.646,0.0885,0.646,0.794,6.16E-06,0.201,-6.104,0.19,170.216,4
103,Wildest Dreams,1989 (Deluxe),Taylor Swift,01/01/2014,220440,63,0.55,0.0692,0.55,0.688,0.00144,0.106,-7.416,0.0897,139.997,4
104,How You Get The Girl,1989 (Deluxe),Taylor Swift,01/01/2014,247533,66,0.765,0.00364,0.765,0.656,0.00868,0.0918,-6.112,0.0504,119.997,4
105,This Love,1989 (Deluxe),Taylor Swift,01/01/2014,250093,64,0.481,0.678,0.481,0.435,0,0.0928,-8.795,0.0321,143.95,4
106,I Know Places,1989 (Deluxe),Taylor Swift,01/01/2014,195706,62,0.602,0.245,0.602,0.755,0,0.178,-4.991,0.071,159.965,4
107,Clean,1989 (Deluxe),Taylor Swift,01/01/2014,271000,68,0.815,0.232,0.815,0.377,0,0.1,-7.754,0.0346,103.97,4
108,Wonderland,1989 (Deluxe),Taylor Swift,01/01/2014,245560,69,0.422,0.0493,0.422,0.692,2.57E-05,0.177,-5.447,0.0549,184.014,4
109,You Are In Love,1989 (Deluxe),Taylor Swift,01/01/2014,267106,67,0.474,0.707,0.474,0.48,0.000108,0.0903,-8.894,0.0622,170.109,4
110,New Romantics,1989 (Deluxe),Taylor Swift,01/01/2014,230466,71,0.633,0.00463,0.633,0.889,0.000458,0.0658,-5.87,0.0715,121.956,4
111,Wildest Dreams - R3hab Remix,Wildest Dreams (R3hab Remix),"Taylor Swift, R3hab",01/01/2015,198106,56,0.584,0.00429,0.584,0.809,0,0.0888,-4.352,0.0387,130.104,4
112,Bad Blood,Bad Blood,"Taylor Swift, Kendrick Lamar",17/05/2015,200106,75,0.654,0.0294,0.654,0.655,0,0.139,-7.388,0.106,170.16,4
113,I Don't Wanna Live Forever (Fifty Shades Darker),reputation Stadium Tour Surprise Song Playlist,"ZAYN, Taylor Swift",09/11/2017,247160,83,0.731,0.0586,0.731,0.445,1.96E-05,0.14,-8.418,0.0533,117.97,4
114,...Ready For It?,reputation,"Taylor Swift, Ed Sheeran, Future",10/11/2017,208186,78,0.613,0.0527,0.613,0.764,0,0.197,-6.509,0.136,160.015,4
115,End Game,reputation,Taylor Swift,10/11/2017,244826,76,0.649,0.00845,0.649,0.589,0,0.108,-6.237,0.0558,159.073,4
116,I Did Something Bad,reputation,Taylor Swift,10/11/2017,238253,79,0.696,0.0679,0.696,0.602,2.11E-05,0.0696,-6.156,0.159,82.989,4
117,Don't Blame Me,reputation,Taylor Swift,10/11/2017,236413,80,0.615,0.106,0.615,0.534,1.76E-05,0.0607,-6.719,0.0386,135.917,4
118,Delicate,reputation,Taylor Swift,10/11/2017,232253,81,0.75,0.216,0.75,0.404,0.000357,0.0911,-10.178,0.0682,95.045,4
119,Look What You Made Me Do,reputation,Taylor Swift,10/11/2017,211853,81,0.766,0.204,0.766,0.709,1.41E-05,0.126,-6.471,0.123,128.07,4
120,So It Goes...,reputation,Taylor Swift,10/11/2017,227906,70,0.574,0.122,0.574,0.61,1.10E-06,0.13,-7.283,0.0732,74.957,4
121,Gorgeous,reputation,Taylor Swift,10/11/2017,209680,77,0.8,0.0713,0.8,0.535,9.48E-06,0.213,-6.684,0.135,92.027,4
122,Getaway Car,reputation,Taylor Swift,10/11/2017,233626,81,0.562,0.00465,0.562,0.689,2.23E-06,0.0888,-6.745,0.127,172.054,4
123,King Of My Heart,reputation,Taylor Swift,10/11/2017,214320,75,0.675,0.00882,0.675,0.703,2.21E-06,0.0391,-7.902,0.0382,110.01,4
124,Dancing With Our Hands Tied,reputation,Taylor Swift,10/11/2017,211506,73,0.624,0.0604,0.624,0.691,1.10E-05,0.138,-6.686,0.196,160.024,4
125,Dress,reputation,Taylor Swift,10/11/2017,230373,75,0.719,0.0329,0.719,0.469,0,0.169,-8.792,0.0533,120.085,4
126,This Is Why We Can't Have Nice Things,reputation,Taylor Swift,10/11/2017,207133,73,0.567,0.0156,0.567,0.789,0,0.382,-5.986,0.115,163.96,4
127,Call It What You Want,reputation,Taylor Swift,10/11/2017,203506,76,0.598,0.186,0.598,0.504,0.000221,0.34,-9.874,0.0731,163.954,4
128,New Year's Day,reputation,Taylor Swift,10/11/2017,235466,71,0.661,0.921,0.661,0.151,0,0.13,-12.864,0.0354,94.922,4
129,...Ready For It? - BloodPop® Remix,...Ready For It? (BloodPop® Remix),"Taylor Swift, BloodPop®",01/12/2017,189508,53,0.582,0.133,0.582,0.835,0,0.102,-4.899,0.222,160.09,4
130,Delicate - Recorded at The Tracking Room Nashville,Spotify Singles,Taylor Swift,13/04/2018,228460,55,0.664,0.577,0.664,0.447,0,0.0968,-8.404,0.0341,90.976,4
131,Delicate - Sawyr And Ryan Tedder Mix,Delicate (Sawyr And Ryan Tedder Mix),"Taylor Swift, Sawyr, Ryan Tedder",25/05/2018,184281,46,0.692,0.0242,0.692,0.552,0.000671,0.0955,-7.41,0.0407,102.001,4
132,Delicate - Seeb Remix,Delicate (Seeb Remix),"Taylor Swift, Seeb",08/06/2018,173265,60,0.68,0.0956,0.68,0.821,0.00315,0.0826,-3.77,0.041,105.986,4
133,Babe,Bigger,"Sugarland, Taylor Swift",08/06/2018,215106,65,0.535,0.0187,0.535,0.777,1.62E-06,0.136,-3.292,0.207,171.72,4
134,Hold On - Live,From The Vault: Live 2007-2009,"Jack Ingram, Taylor Swift",31/08/2018,228400,24,0.702,0.671,0.702,0.301,0,0.0948,-9.082,0.0308,109.566,4
135,You Need To Calm Down - Clean Bandit Remix,You Need To Calm Down (Clean Bandit Remix),"Taylor Swift, Clean Bandit",20/08/2019,152773,53,0.726,0.072,0.726,0.88,0.000462,0.0906,-4.137,0.0581,95.037,4
136,I Forgot That You Existed,Lover,Taylor Swift,23/08/2019,170640,76,0.664,0.298,0.664,0.316,2.03E-06,0.0812,-10.345,0.519,92.875,4
137,Cruel Summer,Lover,Taylor Swift,23/08/2019,178426,83,0.552,0.117,0.552,0.702,2.06E-05,0.105,-5.707,0.157,169.994,4
138,Lover,Lover,Taylor Swift,23/08/2019,221306,87,0.359,0.492,0.359,0.543,1.58E-05,0.118,-7.582,0.0919,68.534,4
139,The Man,Lover,Taylor Swift,23/08/2019,190360,81,0.777,0.0767,0.777,0.658,0,0.0901,-5.191,0.054,110.048,4
140,The Archer,Lover,Taylor Swift,23/08/2019,211240,74,0.292,0.12,0.292,0.574,0.00569,0.0663,-9.375,0.0401,124.344,4
141,I Think He Knows,Lover,Taylor Swift,23/08/2019,173386,75,0.897,0.00889,0.897,0.366,0.000353,0.0715,-8.029,0.0569,100.003,4
