,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
142,Miss Americana & The Heartbreak Prince,Lover,Taylor Swift,23/08/2019,234146,73,0.662,0.028,0.662,0.747,0.00615,0.138,-6.926,0.0736,150.088,4
143,Paper Rings,Lover,Taylor Swift,23/08/2019,222400,84,0.811,0.0129,0.811,0.719,1.36E-05,0.0742,-6.553,0.0497,103.979,4
144,Cornelia Street,Lover,Taylor Swift,23/08/2019,287266,76,0.824,0.781,0.824,0.624,0.000189,0.1,-9.728,0.0827,102.012,4
145,Death By A Thousand Cuts,Lover,Taylor Swift,23/08/2019,198533,75,0.712,0.454,0.712,0.732,0,0.319,-6.754,0.0629,94.071,4
146,London Boy,Lover,Taylor Swift,23/08/2019,190240,77,0.695,0.0246,0.695,0.71,0.000104,0.133,-6.639,0.05,157.925,4
147,Soon You'll Get Better (feat. The Chicks),Lover,"Taylor Swift, The Chicks",23/08/2019,201586,69,0.433,0.907,0.433,0.182,0,0.123,-12.566,0.0641,207.476,4
148,False God,Lover,Taylor Swift,23/08/2019,200306,72,0.739,0.736,0.739,0.32,0.000147,0.111,-10.862,0.239,79.97,4
149,You Need To Calm Down,Lover,Taylor Swift,23/08/2019,171360,81,0.771,0.00929,0.771,0.671,0,0.0637,-5.617,0.0553,85.026,4
150,Afterglow,Lover,Taylor Swift,23/08/2019,223293,78,0.756,0.13,0.756,0.449,0,0.114,-8.746,0.0344,111.011,4
151,ME! (feat. Brendon Urie of Panic! At The Disco),Lover,"Taylor Swift, Brendon Urie, Panic! At The Disco",23/08/2019,193000,80,0.61,0.033,0.61,0.83,0,0.118,-4.105,0.0571,182.162,4
152,It's Nice To Have A Friend,Lover,Taylor Swift,23/08/2019,150440,69,0.737,0.971,0.737,0.175,0.000337,0.171,-9.912,0.0401,70.008,4
153,Daylight,Lover,Taylor Swift,23/08/2019,293453,75,0.557,0.808,0.557,0.496,0.000173,0.0772,-9.602,0.0563,149.983,4
154,Lover (Remix) [feat. Shawn Mendes],Lover (Remix) [feat. Shawn Mendes],"Taylor Swift, Shawn Mendes",13/11/2019,221306,73,0.448,0.433,0.448,0.603,0,0.0862,-7.176,0.064,205.272,3
155,Lover - First Dance Remix,Lover (First Dance Remix),Taylor Swift,26/11/2019,233466,60,0.506,0.687,0.506,0.425,1.08E-06,0.158,-8.198,0.0343,68.449,4
156,Christmas Tree Farm,Christmas Tree Farm,Taylor Swift,06/12/2019,228026,61,0.598,0.06,0.598,0.68,0,0.324,-4.505,0.0331,134.002,4
157,"Beautiful Ghosts - From The Motion Picture Soundtrack ""Cats""",Cats: Highlights From The Motion Picture Soundtrack,Taylor Swift,20/12/2019,261053,54,0.382,0.85,0.382,0.219,0,0.0954,-10.068,0.0677,175.561,3
158,Only The Young - Featured in Miss Americana,Only The Young (Featured in Miss Americana),Taylor Swift,31/01/2020,157507,68,0.56,0.00244,0.56,0.78,0,0.0714,-4.895,0.0517,93.516,4
159,Love Story - Digital Dog Remix,Love Story (Digital Dog Remix),"Taylor Swift, Digital Dog",07/02/2020,358573,48,0.729,0.0126,0.729,0.637,0.0326,0.0908,-5.796,0.0384,128.017,4
160,Love Story - Pop Mix,Love Story (Pop Mix),"Taylor Swift, Nathan Chapman",07/02/2020,233653,42,0.718,0.0317,0.718,0.755,1.90E-05,0.137,-3.319,0.0382,119.003,4
161,You're Not Sorry - CSI Remix,You're Not Sorry (CSI Remix),Taylor Swift,07/02/2020,262440,38,0.601,0.0516,0.601,0.744,0.0111,0.117,-5.269,0.0369,133.95,4
162,cardigan - cabin in candlelight version,cardigan (cabin in candlelight version),Taylor Swift,30/07/2020,228000,64,0.652,0.9,0.652,0.237,0,0.0991,-8.364,0.0335,129.976,4
163,the 1,folklore (deluxe version),Taylor Swift,18/08/2020,210240,69,0.78,0.75,0.78,0.361,7.14E-06,0.108,-6.942,0.048,139.902,4
164,cardigan,folklore (deluxe version),Taylor Swift,18/08/2020,239560,70,0.612,0.525,0.612,0.58,0.000414,0.26,-8.572,0.0419,130.045,4
165,the last great american dynasty,folklore (deluxe version),Taylor Swift,18/08/2020,231000,67,0.688,0.481,0.688,0.653,0.00414,0.106,-8.558,0.0403,147.991,4
166,exile (feat. Bon Iver),folklore (deluxe version),"Taylor Swift, Bon Iver",18/08/2020,285640,68,0.31,0.761,0.31,0.374,2.46E-05,0.11,-8.464,0.0275,75.938,4
167,my tears ricochet,folklore (deluxe version),Taylor Swift,18/08/2020,255893,68,0.456,0.814,0.456,0.265,0,0.0679,-10.663,0.0328,129.947,4
168,mirrorball,folklore (deluxe version),Taylor Swift,18/08/2020,208973,68,0.549,0.686,0.549,0.417,1.90E-06,0.0604,-10.064,0.035,110.137,4
169,seven,folklore (deluxe version),Taylor Swift,18/08/2020,208906,67,0.602,0.888,0.602,0.494,2.59E-05,0.0902,-10.813,0.0277,94.955,4
170,august,folklore (deluxe version),Taylor Swift,18/08/2020,261920,69,0.387,0.553,0.387,0.634,6.93E-05,0.0931,-9.222,0.0363,89.567,4
171,this is me trying,folklore (deluxe version),Taylor Swift,18/08/2020,195106,68,0.511,0.312,0.511,0.478,2.30E-05,0.147,-9.837,0.0322,135.882,4
172,illicit affairs,folklore (deluxe version),Taylor Swift,18/08/2020,190893,67,0.529,0.862,0.529,0.304,0,0.108,-10.567,0.0356,119.58,4
173,invisible string,folklore (deluxe version),Taylor Swift,18/08/2020,252880,67,0.651,0.859,0.651,0.459,6.63E-05,0.105,-11.128,0.0507,83.455,4
174,mad woman,folklore (deluxe version),Taylor Swift,18/08/2020,237266,65,0.593,0.67,0.593,0.7,6.77E-06,0.116,-9.016,0.0492,141.898,4
175,epiphany,folklore (deluxe version),Taylor Swift,18/08/2020,289746,64,0.317,0.727,0.317,0.254,0.000326,0.0867,-13.679,0.0286,93.933,4
176,betty,folklore (deluxe version),Taylor Swift,18/08/2020,294520,66,0.595,0.589,0.595,0.376,0,0.0989,-8.767,0.0256,95.946,4
177,peace,folklore (deluxe version),Taylor Swift,18/08/2020,234000,64,0.644,0.916,0.644,0.284,1.50E-05,0.0909,-12.879,0.0821,150.072,4
178,hoax,folklore (deluxe version),Taylor Swift,18/08/2020,220040,64,0.676,0.964,0.676,0.178,7.90E-06,0.135,-15.01,0.0394,118.84,4
179,the lakes - bonus track,folklore (deluxe version),Taylor Swift,18/08/2020,211813,69,0.313,0.842,0.313,0.258,1.30E-06,0.0948,-11.532,0.0383,179.947,4
180,willow - dancing witch version (Elvira remix),willow [dancing witch version (Elvira remix)],"Taylor Swift, Elvira",13/12/2020,184819,62,0.429,0.449,0.429,0.567,1.50E-05,0.536,-10.157,0.272,83.922,4
181,willow - lonely witch version,willow (lonely witch version),Taylor Swift,15/12/2020,214653,56,0.41,0.892,0.41,0.381,0,0.148,-9.083,0.0548,80.855,4
182,willow - moonlit witch version,willow (moonlit witch version),Taylor Swift,16/12/2020,208866,49,0.36,0.411,0.36,0.643,0.000241,0.136,-8.608,0.221,81.551,4
183,Christmas Tree Farm - Recorded Live at the 2019 iHeartRadio Jingle Ball,Christmas Tree Farm (Recorded Live at the 2019 iHeartRadio Jingle Ball),Taylor Swift,19/12/2020,253866,37,0.512,0.419,0.512,0.736,0,0.887,-5.519,0.0372,133.953,4
184,willow,evermore (deluxe version),Taylor Swift,07/01/2021,214706,70,0.392,0.833,0.392,0.574,0.00179,0.145,-9.195,0.17,81.112,4
185,champagne problems,evermore (deluxe version),Taylor Swift,07/01/2021,244000,72,0.462,0.92,0.462,0.24,0,0.113,-12.077,0.0377,171.319,4
186,gold rush,evermore (deluxe version),Taylor Swift,07/01/2021,185320,69,0.512,0.83,0.512,0.462,0.166,0.121,-10.491,0.0408,112.05,4
187,tis the damn season,evermore (deluxe version),Taylor Swift,07/01/2021,229840,68,0.575,0.735,0.575,0.434,6.59E-05,0.105,-8.193,0.0312,145.916,4
188,tolerate it,evermore (deluxe version),Taylor Swift,07/01/2021,245440,69,0.316,0.878,0.316,0.361,2.67E-05,0.0797,-10.381,0.0488,74.952,5
189,"no body, no crime (feat. HAIM)",evermore (deluxe version),"Taylor Swift, HAIM",07/01/2021,215626,68,0.546,0.418,0.546,0.613,0,0.103,-7.589,0.0264,79.015,4
190,happiness,evermore (deluxe version),Taylor Swift,07/01/2021,315146,67,0.559,0.87,0.559,0.334,0,0.114,-10.733,0.0376,122.079,4
191,dorothea,evermore (deluxe version),Taylor Swift,07/01/2021,225880,66,0.605,0.696,0.605,0.488,0,0.129,-8.322,0.0264,119.966,4
192,coney island (feat. The National),evermore (deluxe version),"Taylor Swift, The National",07/01/2021,275320,67,0.537,0.819,0.537,0.537,0.000904,0.142,-11.266,0.0617,107.895,4
193,ivy,evermore (deluxe version),Taylor Swift,07/01/2021,260440,68,0.515,0.855,0.515,0.545,1.97E-05,0.0921,-9.277,0.0353,88.856,4
194,cowboy like me,evermore (deluxe version),Taylor Swift,07/01/2021,275040,67,0.604,0.768,0.604,0.517,0.000155,0.123,-9.014,0.0347,127.967,4
195,long story short,evermore (deluxe version),Taylor Swift,07/01/2021,215920,67,0.546,0.66,0.546,0.73,0.179,0.0972,-7.704,0.0417,157.895,4
196,marjorie,evermore (deluxe version),Taylor Swift,07/01/2021,257773,66,0.535,0.876,0.535,0.561,0.000136,0.115,-11.609,0.0484,96.103,4
197,closure,evermore (deluxe version),Taylor Swift,07/01/2021,180653,64,0.689,0.835,0.689,0.704,4.83E-06,0.134,-10.813,0.245,151.884,5
198,evermore (feat. Bon Iver),evermore (deluxe version),"Taylor Swift, Bon Iver",07/01/2021,304106,67,0.39,0.937,0.39,0.27,0.00227,0.111,-10.673,0.0308,125.177,5
199,right where you left me - bonus track,evermore (deluxe version),Taylor Swift,07/01/2021,245026,80,0.581,0.769,0.581,0.619,0.000106,0.117,-6.524,0.0282,137.915,4
200,it's time to go - bonus track,evermore (deluxe version),Taylor Swift,07/01/2021,254640,70,0.592,0.801,0.592,0.41,1.39E-05,0.09,-12.426,0.0397,151.923,4
201,Gasoline (feat. Taylor Swift),Women In Music Pt III (Expanded Edition),"HAIM, Taylor Swift",19/02/2021,193373,59,0.658,0.0846,0.658,0.717,0.0022,0.12,-4.257,0.0633,133.074,4
202,Love Story (Taylor's Version) - Elvira Remix,Love Story (Taylor's Version) [Elvira Remix],"Taylor Swift, Elvira",23/03/2021,211857,65,0.669,0.00215,0.669,0.56,3.23E-05,0.264,-8.285,0.0352,123.068,4
203,Fearless (Taylor's Version),Fearless (Taylor's Version),Taylor Swift,09/04/2021,241591,73,0.569,0.0122,0.569,0.741,0,0.333,-4.963,0.0282,100.118,4
204,Fifteen (Taylor's Version),Fearless (Taylor's Version),Taylor Swift,09/04/2021,294419,70,0.559,0.116,0.559,0.646,0,0.32,-4.61,0.0272,95.466,4
205,Love Story (Taylor's Version),Fearless (Taylor's Version),Taylor Swift,09/04/2021,235766,77,0.627,0.13,0.627,0.792,3.97E-06,0.0845,-4.311,0.031,119.054,4
206,Hey Stephen (Taylor's Version),Fearless (Taylor's Version),Taylor Swift,09/04/2021,254254,69,0.788,0.106,0.788,0.571,0,0.0934,-6.135,0.0296,115.99,4
207,White Horse (Taylor's Version),Fearless (Taylor's Version),Taylor Swift,09/04/2021,234515,69,0.423,0.369,0.423,0.517,0,0.177,-7.377,0.0486,185.262,4
208,You Belong With Me (Taylor's Version),Fearless (Taylor's Version),Taylor Swift,09/04/2021,231124,81,0.632,0.0623,0.632,0.773,0,0.0885,-4.856,0.0346,130.033,4
209,Breathe (feat. Colbie Caillat) (Taylor's Version),Fearless (Taylor's Version),"Taylor Swift, Colbie Caillat",09/04/2021,263377,67,0.506,0.156,0.506,0.626,0,0.228,-6.066,0.0287,148.035,4
210,Tell Me Why (Taylor's Version),Fearless (Taylor's Version),Taylor Swift,09/04/2021,200575,65,0.578,0.0222,0.578,0.909,0,0.333,-3.669,0.0628,100.023,4
211,You're Not Sorry (Taylor's Version),Fearless (Taylor's Version),Taylor Swift,09/04/2021,261842,67,0.506,0.0538,0.506,0.444,0,0.123,-4.99,0.0285,133.873,4
212,The Way I Loved You (Taylor's Version),Fearless (Taylor's Version),Taylor Swift,09/04/2021,243136,79,0.402,0.0033,0.402,0.732,0,0.108,-4.665,0.0484,161.032,4
213,Forever & Always (Taylor's Version),Fearless (Taylor's Version),Taylor Swift,09/04/2021,225328,71,0.598,0.0231,0.598,0.821,0,0.143,-4.433,0.0447,128.03,4
214,The Best Day (Taylor's Version),Fearless (Taylor's Version),Taylor Swift,09/04/2021,245290,65,0.642,0.488,0.642,0.576,0,0.159,-8.524,0.0282,125,4
215,Change (Taylor's Version),Fearless (Taylor's Version),Taylor Swift,09/04/2021,279359,64,0.499,0.000191,0.499,0.815,0,0.181,-4.063,0.0341,95.999,4
216,Jump Then Fall (Taylor's Version),Fearless (Taylor's Version),Taylor Swift,09/04/2021,237580,65,0.572,0.0474,0.572,0.69,0,0.0897,-6.201,0.0358,160.111,4
217,Untouchable (Taylor's Version),Fearless (Taylor's Version),Taylor Swift,09/04/2021,312107,65,0.393,0.0181,0.393,0.531,0,0.169,-6.112,0.0329,200.391,4
218,Forever & Always (Piano Version) (Taylor's Version),Fearless (Taylor's Version),Taylor Swift,09/04/2021,267833,66,0.546,0.819,0.546,0.273,0,0.137,-9.208,0.0308,118.753,4
219,Come In With The Rain (Taylor's Version),Fearless (Taylor's Version),Taylor Swift,09/04/2021,237338,63,0.476,0.0406,0.476,0.564,0,0.102,-5.677,0.0269,143.929,4
220,Superstar (Taylor's Version),Fearless (Taylor's Version),Taylor Swift,09/04/2021,263865,62,0.454,0.157,0.454,0.555,0,0.343,-6.69,0.0283,171.862,4
221,The Other Side Of The Door (Taylor's Version),Fearless (Taylor's Version),Taylor Swift,09/04/2021,238443,68,0.432,0.0279,0.432,0.873,0,0.167,-4.367,0.0577,163.936,4
222,Today Was A Fairytale (Taylor's Version),Fearless (Taylor's Version),Taylor Swift,09/04/2021,241822,66,0.482,0.0135,0.482,0.779,0,0.296,-5.025,0.0409,158.162,4
223,You All Over Me (feat. Maren Morris) (Taylor's Version) (From The Vault),Fearless (Taylor's Version),"Taylor Swift, Maren Morris",09/04/2021,220839,65,0.599,0.816,0.599,0.494,0,0.101,-7.61,0.0372,142.893,4
224,Mr. Perfectly Fine (Taylor's Version) (From The Vault),Fearless (Taylor's Version),Taylor Swift,09/04/2021,277591,73,0.66,0.162,0.66,0.817,0,0.0667,-6.269,0.0521,135.942,4
225,We Were Happy (Taylor's Version) (From The Vault),Fearless (Taylor's Version),Taylor Swift,09/04/2021,244236,67,0.609,0.849,0.609,0.373,0,0.0779,-8.819,0.0263,106.007,4
226,That's When (feat. Keith Urban) (Taylor's Version) (From The Vault),Fearless (Taylor's Version),"Taylor Swift, Keith Urban",09/04/2021,189495,69,0.588,0.225,0.588,0.608,0,0.092,-7.062,0.0365,90.201,4
227,Don't You (Taylor's Version) (From The Vault),Fearless (Taylor's Version),Taylor Swift,09/04/2021,208608,68,0.563,0.514,0.563,0.473,1.20E-05,0.109,-11.548,0.0503,101.934,4
228,Bye Bye Baby (Taylor's Version) (From The Vault),Fearless (Taylor's Version),Taylor Swift,09/04/2021,242157,66,0.624,0.334,0.624,0.624,0,0.0995,-7.86,0.0539,80.132,4
229,willow - 90's trend remix,willow (90's trend remix),Taylor Swift,14/06/2021,225106,56,0.6,0.313,0.6,0.603,0,0.0872,-8.696,0.0741,168.085,4
230,Renegade (feat. Taylor Swift),Renegade (feat. Taylor Swift),"Big Red Machine, Taylor Swift",02/07/2021,254466,70,0.532,0.435,0.532,0.708,0.0236,0.107,-8.121,0.0505,167.977,4
231,the lakes - original version,the lakes (original version),Taylor Swift,24/07/2021,227203,66,0.197,0.717,0.197,0.406,0.000362,0.293,-10.904,0.0619,90.053,4
232,Renegade - Pop Version,Renegade (Pop Version),"Big Red Machine, Taylor Swift",17/08/2021,231526,55,0.341,0.315,0.341,0.726,6.27E-05,0.0948,-7.271,0.0699,167.949,4
233,Birch (feat. Taylor Swift),How Long Do You Think It's Gonna Last?,"Big Red Machine, Taylor Swift",27/08/2021,330066,58,0.644,0.889,0.644,0.639,0.143,0.0993,-13.545,0.0466,92.012,4
234,Wildest Dreams (Taylor's Version),Wildest Dreams (Taylor's Version),Taylor Swift,17/09/2021,220433,86,0.583,0.0374,0.583,0.67,0.0001,0.126,-7.289,0.0646,140.061,4
235,State Of Grace (Taylor's Version),Red (Taylor's Version),Taylor Swift,12/11/2021,295413,75,0.594,0.000328,0.594,0.713,0,0.114,-5.314,0.0503,129.958,4
236,Red (Taylor's Version),Red (Taylor's Version),Taylor Swift,12/11/2021,223093,81,0.516,0.00108,0.516,0.777,1.62E-06,0.0761,-4.908,0.0375,125.047,4
237,Treacherous (Taylor's Version),Red (Taylor's Version),Taylor Swift,12/11/2021,242720,74,0.645,0.0344,0.645,0.593,0.000127,0.13,-6.506,0.0288,109.984,4
238,I Knew You Were Trouble (Taylor's Version),Red (Taylor's Version),Taylor Swift,12/11/2021,219760,77,0.584,0.0129,0.584,0.557,0,0.0576,-6.371,0.0342,154.008,4
239,All Too Well (Taylor's Version),Red (Taylor's Version),Taylor Swift,12/11/2021,329160,80,0.44,0.0171,0.44,0.528,0.00203,0.234,-7.809,0.0317,185.972,4
240,22 (Taylor's Version),Red (Taylor's Version),Taylor Swift,12/11/2021,230960,76,0.642,0.000443,0.642,0.695,1.02E-05,0.0753,-5.62,0.0281,103.984,4
241,I Almost Do (Taylor's Version),Red (Taylor's Version),Taylor Swift,12/11/2021,244586,72,0.511,0.0167,0.511,0.559,0,0.113,-6.587,0.0264,145.88,4
242,We Are Never Ever Getting Back Together (Taylor's Version),Red (Taylor's Version),Taylor Swift,12/11/2021,193146,77,0.567,0.0317,0.567,0.686,1.86E-06,0.0732,-6.139,0.175,172.014,4
243,Stay Stay Stay (Taylor's Version),Red (Taylor's Version),Taylor Swift,12/11/2021,205786,73,0.693,0.0848,0.693,0.681,0,0.0768,-7.039,0.025,100.02,4
244,The Last Time (feat. Gary Lightbody of Snow Patrol) (Taylor's Version),Red (Taylor's Version),"Taylor Swift, Gary Lightbody",12/11/2021,299080,74,0.502,0.0399,0.502,0.534,0,0.0977,-5.954,0.0278,94.05,4
245,Holy Ground (Taylor's Version),Red (Taylor's Version),Taylor Swift,12/11/2021,202960,72,0.622,0.0288,0.622,0.809,0.00218,0.109,-5.623,0.0638,156.894,4
246,Sad Beautiful Tragic (Taylor's Version),Red (Taylor's Version),Taylor Swift,12/11/2021,284773,71,0.601,0.622,0.601,0.406,9.19E-05,0.133,-11.827,0.0275,130.059,3
247,The Lucky One (Taylor's Version),Red (Taylor's Version),Taylor Swift,12/11/2021,240466,71,0.686,0.066,0.686,0.571,0,0.0608,-7.138,0.05,117.889,4
248,Everything Has Changed (feat. Ed Sheeran) (Taylor's Version),Red (Taylor's Version),"Taylor Swift, Ed Sheeran",12/11/2021,245426,76,0.498,0.271,0.498,0.61,0,0.223,-5.098,0.0363,79.918,4
249,Starlight (Taylor's Version),Red (Taylor's Version),Taylor Swift,12/11/2021,220413,70,0.628,0.00324,0.628,0.685,0,0.18,-5.864,0.0358,126.014,4
250,Begin Again (Taylor's Version),Red (Taylor's Version),Taylor Swift,12/11/2021,238866,73,0.519,0.075,0.519,0.527,0,0.132,-7.673,0.0274,78.915,4
251,The Moment I Knew (Taylor's Version),Red (Taylor's Version),Taylor Swift,12/11/2021,285280,71,0.636,0.0494,0.636,0.402,0,0.107,-7.855,0.031,125.952,4
252,Come Back...Be Here (Taylor's Version),Red (Taylor's Version),Taylor Swift,12/11/2021,223333,73,0.46,0.0158,0.46,0.632,0,0.0822,-6.031,0.0302,79.846,4
253,Girl At Home (Taylor's Version),Red (Taylor's Version),Taylor Swift,12/11/2021,220520,70,0.691,0.00955,0.691,0.736,1.88E-05,0.101,-6.974,0.0326,125.089,4
254,State Of Grace (Acoustic Version) (Taylor's Version),Red (Taylor's Version),Taylor Swift,12/11/2021,321640,69,0.445,0.663,0.445,0.131,1.57E-06,0.108,-13.778,0.0564,208.918,3
255,Ronan (Taylor's Version),Red (Taylor's Version),Taylor Swift,12/11/2021,264253,67,0.623,0.661,0.623,0.279,0,0.193,-10.802,0.031,116.04,4
256,Better Man (Taylor's Version) (From The Vault),Red (Taylor's Version),Taylor Swift,12/11/2021,297013,75,0.473,0.214,0.473,0.579,0,0.0877,-5.824,0.0384,73.942,4
257,Nothing New (feat. Phoebe Bridgers) (Taylor's Version) (From The Vault),Red (Taylor's Version),"Taylor Swift, Phoebe Bridgers",12/11/2021,258812,80,0.606,0.817,0.606,0.377,0,0.154,-9.455,0.0275,101.96,4
258,Babe (Taylor's Version) (From The Vault),Red (Taylor's Version),Taylor Swift,12/11/2021,224240,75,0.584,0.0538,0.584,0.743,2.83E-06,0.121,-7.075,0.0931,167.844,4
259,Message In A Bottle (Taylor's Version) (From The Vault),Red (Taylor's Version),Taylor Swift,12/11/2021,225960,81,0.622,0.00188,0.622,0.791,3.72E-06,0.083,-6.106,0.0535,115.915,4
260,I Bet You Think About Me (feat. Chris Stapleton) (Taylor's Version) (From The Vault),Red (Taylor's Version),"Taylor Swift, Chris Stapleton",12/11/2021,285106,81,0.391,0.167,0.391,0.715,0,0.183,-4.516,0.0495,149.654,3
261,Forever Winter (Taylor's Version) (From The Vault),Red (Taylor's Version),Taylor Swift,12/11/2021,263533,72,0.611,0.256,0.611,0.552,0,0.134,-5.828,0.031,116.012,4
262,Run (feat. Ed Sheeran) (Taylor's Version) (From The Vault),Red (Taylor's Version),"Taylor Swift, Ed Sheeran",12/11/2021,240226,79,0.61,0.817,0.61,0.488,0,0.312,-6.918,0.0293,125.039,4
263,The Very First Night (Taylor's Version) (From The Vault),Red (Taylor's Version),Taylor Swift,12/11/2021,200280,78,0.678,0.00115,0.678,0.733,0,0.104,-5.025,0.0281,121.009,4
264,All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),Red (Taylor's Version),Taylor Swift,12/11/2021,613026,90,0.631,0.274,0.631,0.518,0,0.088,-8.771,0.0303,93.023,4
265,All Too Well (Sad Girl Autumn Version) - Recorded at Long Pond Studios,All Too Well (Sad Girl Autumn Version) - Recorded at Long Pond Studios,Taylor Swift,18/11/2021,598150,69,0.585,0.838,0.585,0.286,0,0.115,-10.123,0.0312,93.009,4
266,Message In A Bottle (Fat Max G Remix) (Taylor's Version),Message In A Bottle (Fat Max G Remix) (Taylor's Version),"Taylor Swift, Fat Max Gsus",21/01/2022,224649,69,0.684,0.00226,0.684,0.733,0.000125,0.273,-4.203,0.0422,115.969,4
267,The Joker And The Queen (feat. Taylor Swift),The Joker And The Queen (feat. Taylor Swift),"Ed Sheeran, Taylor Swift",11/02/2022,185422,89,0.528,0.924,0.528,0.309,2.10E-06,0.282,-7.398,0.0329,133.83,4
